,ID,CB_smile,Score,Natom,Nflex,Hbond,Hphob,VwInt,Eintl,Dsolv,SolEl,mfScore,RTCNNscore,dTSsc,ICM_Smile
0,7821184,CCn1cc(\C=C(\C#N)S(=O)(=O)c2ccccc2)cn1,-67.816986,33,3,0,-4.317437,-17.494677,4.51142,2.176012,-81.164383,-53.237701,-13.498098,1.092788,[H]C(=C(C#N)S(c1c([H])c([H])c([H])c([H])c1[H])(=O)=O)c1c([H])nn(c1[H])C([H])([H])C([H])([H])[H]
1,8820539,COC(=O)c1ccsc1NC(=O)c1ccsc1NC(=O)\C=C\[C](=O)=O,-27.354256,36,1,-3.06985,-5.096807,-23.441107,2.623424,7.286671,-0.561553,-75.463188,-13.553566,1.095235,[H]C(=C([H])C(N([H])c1c(C(N([H])c2c(C(=O)OC([H])([H])[H])c([H])c([H])s2)=O)c([H])c([H])s1)=O)C(=O)=O
2,5647497,Nc1ccccc1C(=O)N\N=C1/C(=O)N(CC=C)c2ccccc12,-27.20697,40,2,-3.161039,-5.304992,-22.947947,3.70082,5.149834,0.014974,-52.206699,-18.03208,0.898143,[H]C([H])=C([H])C([H])([H])N1C(C(c2c([H])c([H])c([H])c([H])c12)=NN([H])C(c1c([H])c([H])c([H])c([H])c1N([H])[H])=O)=O
3,69772984,O=C(NC[C@@H]1CCCN(C1)C(=O)c1ccc2ncsc2c1)c1cccs1,-25.523212,45,3,-5.167312,-4.636309,-21.16169,3.982926,10.259072,-0.099936,-70.332954,-26.620281,1.097707,[H]c1c([H])c2c(c([H])c1C(N1C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])N([H])C(c3c([H])c([H])c([H])s3)=O)C1([H])[H])=O)sc([H])n2
4,9156684,CNC(=O)c1cc(cs1)S(=O)(=O)Nc1cccc(C)c1,-25.351452,34,3,-4.545309,-4.577377,-20.507008,3.724446,6.427405,1.313346,-68.391884,-16.649738,0.972065,[H]c1c([H])c(c([H])c(c1[H])N([H])S(c1c([H])c(C(N([H])C([H])([H])[H])=O)sc1[H])(=O)=O)C([H])([H])[H]
5,9202409,COc1ccccc1C(=O)Nc1ccccc1-c1nc(no1)-c1ccccn1,-25.319691,44,0,-3.737211,-5.481872,-21.670889,3.920021,8.415599,1.235581,-84.742973,-21.535425,1.256808,[H]c1c([H])c([H])c(c(c1[H])c1nc(c2c([H])c([H])c([H])c([H])n2)no1)N([H])C(c1c([H])c([H])c([H])c([H])c1OC([H])([H])[H])=O
6,9324318,CC(C)(C)c1ccc2O[C@@H](CN(c2c1)S(=O)(=O)c1ccccc1)C(N)=O,-24.987654,48,4,-3.131078,-4.585484,-21.539738,2.327452,5.697865,-0.793765,-71.631104,-17.293695,1.093386,[H]c1c([H])c([H])c(c([H])c1[H])S(N1c2c([H])c(c([H])c([H])c2O[C@]([H])(C(N([H])[H])=O)C1([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(=O)=O
7,7935309,Cc1cc(C)cc(NS(=O)(=O)c2ccc3oc(=O)ccc3c2)c1,-24.79668,38,3,-4.173841,-4.713317,-21.61998,2.340758,7.58954,2.491558,-84.346764,-14.945476,1.023885,[H]C1=C([H])c2c([H])c(c([H])c([H])c2OC1=O)S(N([H])c1c([H])c(c([H])c(c1[H])C([H])([H])[H])C([H])([H])[H])(=O)=O
8,9139879,CNC(=O)c1cc(cs1)S(=O)(=O)Nc1cccc(Cl)c1,-24.795942,31,3,-4.61983,-4.488383,-19.699446,3.899836,6.223742,1.19876,-65.574913,-16.45314,0.9566,[H]c1c([H])c(c([H])c(c1[H])[Cl])N([H])S(c1c([H])c(C(N([H])C([H])([H])[H])=O)sc1[H])(=O)=O
9,5853353,Fc1ccc(cc1)C(\NC[C](=O)=O)=N\S(=O)(=O)c1ccccc1,-24.772621,35,5,-3.434949,-4.589143,-20.579988,3.733563,5.929701,-3.204392,-66.265045,-16.778639,1.026767,[H]c1c([H])c([H])c(c([H])c1[H])S(N=C(c1c([H])c([H])c(c([H])c1[H])F)N([H])C([H])([H])C(=[O-/2])=[O-/2])(=O)=O
10,9119305,COc1cccc(NS(=O)(=O)c2cnc(NC(C)=O)s2)c1,-24.741617,34,3,-4.966886,-4.615032,-19.18215,2.058759,8.547293,0.989547,-59.552761,-16.292114,0.893386,[H]c1c([H])c(c([H])c(c1[H])OC([H])([H])[H])N([H])S(c1c([H])nc(N([H])C(C([H])([H])[H])=O)s1)(=O)=O
11,9143710,Cc1ccc(C)c(NS(=O)(=O)c2csc(c2)C(N)=O)c1,-24.720901,34,3,-2.731601,-4.035103,-22.532318,1.647635,6.488067,-0.346581,-40.809486,-16.586063,0.885968,[H]c1c([H])c(c(c([H])c1C([H])([H])[H])N([H])S(c1c([H])c(C(N([H])[H])=O)sc1[H])(=O)=O)C([H])([H])[H]
12,98337528,CNC(=O)c1cccc(NC(=O)c2sccc2S(=O)(=O)N2CCCC2)c1C,-24.636148,48,2,-3.07578,-5.249189,-21.293633,2.111633,9.682267,-2.685629,-66.965935,-17.937304,1.341503,[H]c1c([H])c(C(N([H])C([H])([H])[H])=O)c(c(c1[H])N([H])C(c1c(c([H])c([H])s1)S(N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H])(=O)=O)=O)C([H])([H])[H]
13,73734504,Cc1c(Cn2cc(Oc3ccccc3)c(=O)c(c2)[C](=O)=O)cnn1C,-24.617689,41,4,-3.502168,-4.968152,-22.922171,2.55556,7.700643,1.189107,-66.438934,-15.96429,1.160975,[H]C1=C(C(=[O-/2])=[O-/2])C(C(=C([H])N1C([H])([H])c1c([H])nn(c1C([H])([H])[H])C([H])([H])[H])Oc1c([H])c([H])c([H])c([H])c1[H])=O
14,89902904,Nc1nc(Cn2cc(Oc3ccccc3)c(=O)c(c2)[C](=O)=O)cs1,-24.421444,36,4,-4.447724,-4.888633,-22.545891,2.513434,10.724941,1.061829,-61.981438,-16.903839,1.14309,[H]C1=C(C(=[O-/2])=[O-/2])C(C(=C([H])N1C([H])([H])c1c([H])sc(n1)N([H])[H])Oc1c([H])c([H])c([H])c([H])c1[H])=O
15,6893993,CC(C)OC(=O)c1cc(Br)ccc1-c1ccc(C=C2C(=O)NC(=S)NC2=O)o1,-24.408369,43,1,-2.907146,-5.235061,-24.771578,3.511957,9.541137,2.064773,-91.761765,-22.888474,1.275256,[H]C(=C1C(N([H])C(N([H])C1=O)=S)=O)c1c([H])c([H])c(c2c([H])c([H])c(c([H])c2C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H])[Br])o1
16,5849824,O=[C](=O)CN\C(=N/S(=O)(=O)c1ccccc1)c1ccccc1,-24.343685,35,5,-3.443738,-4.522071,-20.541737,3.655152,5.649097,-2.256698,-67.113625,-17.094137,1.003464,[H]c1c([H])c([H])c(C(=NS(c2c([H])c([H])c([H])c([H])c2[H])(=O)=O)N([H])C([H])([H])C(=[O-/2])=[O-/2])c([H])c1[H]
